
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Inferior temporal",(Periventricular AND (nuclei OR nucleus)),1,1710,2494,4204,0.00023786869648
"Indusium griseum",("Inferior olive" OR "Inferior olivary"),2,75,2378,2453,0.000815328169588
"Inferior temporal",(Superior AND collicul*),11,1700,10073,11773,0.000934341289391
"Lingual gyrus","Substantia nigra",0,254,19387,19641,0.0
"Globus pallidus",periaqueductal,81,8025,4495,12520,0.0064696485623
"Lingual gyrus",Thalamus,46,208,42836,43044,0.00106867391506
"Interstitial nucleus","Zona incerta",28,486,946,1432,0.0195530726257
"Lingual gyrus",Pineal,0,254,14403,14657,0.0
"Inferior frontal",Operculum,73,2739,853,3592,0.0203229398664
"Inferior frontal","Pontine nuclei",1,2811,797,3608,0.000277161862528
("Medial dorsal" AND nucl*),Striatum,15,98,58925,59023,0.000254138217305
Infralimbic,"Visual cortex",6,490,22874,23364,0.000256805341551
periaqueductal,"Substantia nigra",344,4232,19043,23275,0.0147798066595
"Pontine nuclei","Posterior parietal",7,791,2147,2938,0.00238257317903
Pons,("Ventral posteromedial" AND (nuclei OR nucleus)),13,25571,99,25670,0.000506427736658
"Middle frontal","Zona incerta",0,1028,974,2002,0.0
(Medulla OR "medulla oblongata"),Striatum,1693,49129,57247,106376,0.01591524404
Operculum,Premotor,69,857,4660,5517,0.0125067971724
"Olfactory bulb",(Septal AND (nuclei OR nucleus)),248,10963,4412,15375,0.0161300813008
"Nucleus accumbens",Pulvinar,4,12541,1129,13670,0.000292611558157
"Olfactory bulb",Thalamus,772,10439,42110,52549,0.0146910502579
"Nucleus basalis","Pontine nuclei",7,1840,791,2631,0.00266058532877
"Primary sensory",(Raphe AND (nuclei OR nucleus)),11,2999,8310,11309,0.000972676629233
Premotor,("Straight gyrus" OR "gyrus rectus"),1,4728,129,4857,0.000205888408483
(Periventricular AND (nuclei OR nucleus)),Pulvinar,3,2492,1130,3622,0.000828271673109
"Primary sensory",("Ventral posteromedial" AND (nuclei OR nucleus)),2,3008,110,3118,0.000641436818473
Striatum,"Superior temporal",101,58839,4006,62845,0.00160712864985
Prefrontal,"Primary sensory",82,24019,2928,26947,0.00304301035366
Subiculum,"Superior temporal",330,97911,3777,101688,0.00324522067501
(Raphe AND (nuclei OR nucleus)),("Superior olive" OR "superior olivary"),46,8275,1211,9486,0.00484925152857
"Inferior frontal",(Inferior AND collicul*),8,2804,4275,7079,0.00113010312191
"Calcarine fissure",Cingulate,8,95,11096,11191,0.000714860155482
"Anterior cingulate","Middle frontal",192,5610,836,6446,0.029785913745
"Anterior cingulate","Paracentral lobule",9,5793,56,5849,0.0015387245683
Cerebellum,"Middle frontal",127,65273,901,66174,0.0019191827606
(Cochlear AND (nuclei OR nucleus)),"Superior frontal",0,5307,1091,6398,0.0
"Lateral geniculate",Premotor,7,5173,4722,9895,0.000707427993936
("Centromedian" AND (nuclei OR nucleus)),Striatum,64,152,58876,59028,0.00108423121231
"Dorsolateral prefrontal","Ventral tegmentum",0,3004,285,3289,0.0
Cingulate,"Globus pallidus",194,10910,7912,18822,0.0103070874509
"Amygdala","Broca's area",12,23345,682,24027,0.000499438132101
"Amygdala",Cerebellum,1230,22127,64170,86297,0.0142531026571
"Calcarine fissure",Precuneus,1,102,1219,1321,0.000757002271007
"Basal forbrain",Premotor,0,1,4729,4730,0.0
("Heschl's gyrus" OR "Transverse temporal"),Subiculum,76,1072,98165,99237,0.000765843385028
("Centromedian" AND (nuclei OR nucleus)),Hippocamp*,20,196,104074,104270,0.000191809724753
Claustrum,"Paracentral lobule",5,82736,60,82796,6.03893907918e-05
(Cochlear AND (nuclei OR nucleus)),Hypothalam*,114,5193,107435,112628,0.00101218169549
"Indusium griseum",Temporoparietal,0,77,1460,1537,0.0
Hypothalam*,"Nucleus basalis",139,107410,1708,109118,0.00127385032717
(Inferior AND collicul*),"Nucleus basalis",5,4278,1842,6120,0.000816993464052
("Inferior olive" OR "Inferior olivary"),Precuneus,2,2378,1218,3596,0.00055617352614
("Inferior olive" OR "Inferior olivary"),("Straight gyrus" OR "gyrus rectus"),0,2380,130,2510,0.0
Hippocamp*,Orbitofrontal,387,103707,2609,106316,0.0036400918018
Hippocamp*,Operculum,30,104064,896,104960,0.000285823170732
(Intralaminar AND (nuclei OR nucleus)),"Medial geniculate",81,1019,1168,2187,0.037037037037
"Inferior temporal",Pulvinar,21,1690,1112,2802,0.00749464668094
"Nucleus basalis",Striatum,275,1572,58665,60237,0.00456530039677
("Nucleus gracilis" OR "gracile nucleus"),"Ventromedial prefrontal",0,374,3,377,0.0
"Inferior frontal",Pulvinar,14,2798,1119,3917,0.00357416390094
("Nucleus gracilis" OR "gracile nucleus"),("Ventral posteromedial" AND (nuclei OR nucleus)),0,374,112,486,0.0
periaqueductal,("Superior olive" OR "superior olivary"),17,4559,1240,5799,0.00293153992068
Insula*,"Nucleus basalis",24,17149,1823,18972,0.00126502213789
Infralimbic,("Ventral posterior" AND (nuclei OR nucleus)),2,494,354,848,0.00235849056604
(Medulla OR "medulla oblongata"),("Superior olive" OR "superior olivary"),754,50068,503,50571,0.0149097308734
"Postcentral gyrus",Striatum,10,521,58930,59451,0.000168205749273
"Nucleus basalis","Nucleus accumbens",61,1786,12484,14270,0.00427470217239
"Medial frontal","Posterior parahippocampal gyrus",0,1595,41,1636,0.0
"Paracentral lobule",Subiculum,3,62,98238,98300,3.0518819939e-05
Pons,(Raphe AND (nuclei OR nucleus)),1150,24434,7171,31605,0.0363866476823
"Posterior parahippocampal gyrus",Prefrontal,6,35,24095,24130,0.000248653128885
Prefrontal,"Visual cortex",566,23535,22314,45849,0.0123448712077
"Middle frontal",Precuneus,115,913,1105,2018,0.0569871159564
(Septal AND (nuclei OR nucleus)),"Wernicke's area",0,4660,251,4911,0.0
"Middle frontal",("Red nucleus"),0,1028,2376,3404,0.0
(Septal AND (nuclei OR nucleus)),("Red nucleus"),32,4628,2344,6972,0.00458978772232
"Piriform cortex",Striatum,192,1551,58748,60299,0.00318413240684
("Ventral posterior" AND (nuclei OR nucleus)),"Visual cortex",6,350,22874,23224,0.000258353427489
Pulvinar,Subgranular,0,1133,632,1765,0.0
Putamen,"Superior frontal",57,10692,1034,11726,0.00486099266587
"Anterior cingulate","Nucleus basalis",10,5792,1837,7629,0.00131078778346
"Basal forbrain",Cingulum,0,1,685,686,0.0
Cerebellum,"Primary auditory",31,65369,1838,67207,0.000461261475739
(Cochlear AND (nuclei OR nucleus)),Subthalam*,14,5293,4115,9408,0.0014880952381
"Diagonal band of Broca","Postcentral gyrus",0,895,531,1426,0.0
"Diagonal band of Broca",Thalamus,96,799,42786,43585,0.00220259263508
"Dorsolateral prefrontal","Stria terminalis",3,3001,2727,5728,0.00052374301676
Ambiguus,("Ventral posterolateral" AND (nuclei OR nucleus)),0,1216,148,1364,0.0
"Amygdala",Claustrum,14949,8408,67792,76200,0.196181102362
"Calcarine fissure",("Superior olive" OR "superior olivary"),0,103,1257,1360,0.0
"Broca's area",("Ventral posterior" AND (nuclei OR nucleus)),0,694,356,1050,0.0
("Centromedian" AND (nuclei OR nucleus)),Cerebellum,12,204,65388,65592,0.000182949140139
Cingulum,("Locus coeruleus" OR "locus ceruleus"),9,676,7630,8306,0.00108355405731
Cingulum,Premotor,12,673,4717,5390,0.00222634508349
(Cochlear AND (nuclei OR nucleus)),"Inferior frontal",0,5307,2812,8119,0.0
Entorhinal,("Superior olive" OR "superior olivary"),3,5544,1254,6798,0.000441306266549
Fusiform,Subiculum,293,5162,97948,103110,0.00284162544855
("Inferior olive" OR "Inferior olivary"),"Supplementary motor",5,2375,2356,4731,0.00105685901501
("Inferior olive" OR "Inferior olivary"),"Inferior frontal",1,2379,2811,5190,0.00019267822736
"Inferior temporal","Medial frontal",32,1679,1563,3242,0.0098704503393
Hippocamp*,"Postcentral gyrus",41,104053,490,104543,0.000392183120821
"Interstitial nucleus","Stria terminalis",48,466,2682,3148,0.0152477763659
"Medial geniculate","Middle frontal",1,1248,1027,2275,0.00043956043956
"Nucleus accumbens",("Ventral posterolateral" AND (nuclei OR nucleus)),2,12543,146,12689,0.000157616833478
"Pontine nuclei",("Ventral posterolateral" AND (nuclei OR nucleus)),3,795,145,940,0.0031914893617
"Posterior parahippocampal gyrus",Precuneus,1,40,1219,1259,0.000794281175536
("Posterior nucleus" AND hypothalamus),"Substantia nigra",4,63,19383,19446,0.000205697829888
"Posterior cingulate","Superior frontal",70,1832,1021,2853,0.024535576586
Premotor,"Superior temporal",220,4509,3887,8396,0.0262029537875
Premotor,("Superior olive" OR "superior olivary"),4,4725,1253,5978,0.000669120107059
"Middle temporal",("Ventral posteromedial" AND (nuclei OR nucleus)),0,1637,112,1749,0.0
"Stria terminalis",("Ventral posterior" AND (nuclei OR nucleus)),5,2725,351,3076,0.00162548764629
"Piriform cortex",(Superior AND collicul*),47,1696,10037,11733,0.00400579561919
("Superior olive" OR "superior olivary"),"Thalamic reticular",1,1256,599,1855,0.000539083557951
Pulvinar,Thalamus,899,234,41983,42217,0.0212947390862
Subthalam*,"Ventral tegmentum",4,4125,281,4406,0.000907852927826
Putamen,Striatum,6139,4610,52801,57411,0.106930727561
"Primary motor","Zona incerta",4,3201,970,4171,0.000959002637257
"Anterior cingulate","Angular gyrus",44,5758,458,6216,0.00707850707851
"Lateral geniculate",(Medulla OR "medulla oblongata"),67,5113,50755,55868,0.0011992553877
"Basal forbrain","Calcarine fissure",0,1,103,104,0.0
(Cochlear AND (nuclei OR nucleus)),("Ventral posterior" AND (nuclei OR nucleus)),1,5306,355,5661,0.000176647235471
"Diagonal band of Broca",Entorhinal,38,857,5509,6366,0.00596921143575
"Lateral geniculate","Visual extrastriate",89,5091,1445,6536,0.0136168910649
"Lateral geniculate",("Ventral posterior" AND (nuclei OR nucleus)),30,5150,326,5476,0.0054784514244
Fusiform,("Nucleus gracilis" OR "gracile nucleus"),3,5452,371,5823,0.000515198351365
"Globus pallidus",("Ventral posterolateral" AND (nuclei OR nucleus)),5,8101,143,8244,0.000606501698205
("Gustatory cortex" OR "gustatory area"),Hippocamp*,14,139,104080,104219,0.000134332511346
("Heschl's gyrus" OR "Transverse temporal"),"Primary sensory",5,1143,3005,4148,0.00120540019286
"Broca's area","Superior frontal",12,682,1079,1761,0.00681431005111
"Calcarine fissure",("Ventral posterolateral" AND (nuclei OR nucleus)),0,103,148,251,0.0
Cingulate,"Visual extrastriate",55,11049,1479,12528,0.0043901660281
Claustrum,"Postcentral gyrus",30,82711,501,83212,0.00036052492429
("Gustatory cortex" OR "gustatory area"),"Visual cortex",2,151,22878,23029,8.68470189761e-05
(Cochlear AND (nuclei OR nucleus)),"Medial frontal",0,5307,1595,6902,0.0
"Inferior frontal","Superior frontal",248,2564,843,3407,0.0727913120047
"Inferior parietal lobule",(Intralaminar AND (nuclei OR nucleus)),5,791,1095,1886,0.00265111346766
"Inferior parietal lobule","Substantia nigra",3,793,19384,20177,0.000148684145314
Hypothalam*,"Indusium griseum",20,107529,57,107586,0.000185897793393
"Medial frontal",("Nucleus cuneatus" OR "cuneate nucleus"),0,1595,692,2287,0.0
("Medial dorsal" AND nucl*),"Superior frontal",0,113,1091,1204,0.0
periaqueductal,Precuneus,5,4571,1215,5786,0.00086415485655
("Nucleus cuneatus" OR "cuneate nucleus"),("Red nucleus"),25,667,2351,3018,0.00828363154407
(Medulla OR "medulla oblongata"),"Middle temporal",3,50819,1634,52453,5.71940594437e-05
"Middle frontal","Ventral tegmentum",0,1028,285,1313,0.0
(Medulla OR "medulla oblongata"),Pulvinar,18,50804,1115,51919,0.000346693888557
"Pontine nuclei",Pulvinar,15,783,1118,1901,0.00789058390321
"Piriform cortex","Visual cortex",11,1732,22869,24601,0.000447136295273
"Postcentral gyrus","Ventromedial prefrontal",0,531,3,534,0.0
"Paracentral lobule",Pulvinar,0,65,1133,1198,0.0
Premotor,(Raphe AND (nuclei OR nucleus)),73,4656,8248,12904,0.00565716057037
"Middle frontal","Nucleus basalis",2,1026,1845,2871,0.000696621386277
Premotor,"Stria terminalis",6,4723,2724,7447,0.00080569356788
"Primary auditory",Putamen,14,1855,10735,12590,0.00111199364575
"Paracentral lobule","Ventral tegmentum",0,65,285,350,0.0
"Primary motor","Primary auditory",15,3190,1854,5044,0.00297383029342
Premotor,"Wernicke's area",13,4716,238,4954,0.00262414210739
"Supplementary motor",("Ventral posteromedial" AND (nuclei OR nucleus)),0,2361,112,2473,0.0
Pulvinar,Striatum,69,1064,58871,59935,0.00115124718445
("Ventral posterior" AND (nuclei OR nucleus)),("Ventral anterior" AND (nuclei OR nucleus)),23,333,214,547,0.0420475319927
Prefrontal,"Stria terminalis",119,23982,2611,26593,0.00447486180574
"Anterior cingulate","Primary sensory",30,5772,2980,8752,0.00342778793419
(Intralaminar AND (nuclei OR nucleus)),Premotor,27,1073,4702,5775,0.00467532467532
(Dorsomedial AND hypothal*),Subthalam*,28,2111,4101,6212,0.00450740502254
"Dorsolateral prefrontal",(Septal AND (nuclei OR nucleus)),2,3002,4658,7660,0.000261096605744
Cingulate,("Heschl's gyrus" OR "Transverse temporal"),32,11072,1116,12188,0.00262553331145
"Broca's area","Inferior frontal",166,528,2646,3174,0.052299936988
("Heschl's gyrus" OR "Transverse temporal"),(Periventricular AND (nuclei OR nucleus)),1,1147,2494,3641,0.000274649821478
("Gustatory cortex" OR "gustatory area"),("Straight gyrus" OR "gyrus rectus"),0,153,130,283,0.0
(Inferior AND collicul*),"Lateral geniculate",105,4178,5075,9253,0.0113476710256
"Dentate gyrus","Postcentral gyrus",0,11443,531,11974,0.0
"Indusium griseum",("Posterior nucleus" AND hypothalamus),0,77,67,144,0.0
Hypothalam*,"Posterior parahippocampal gyrus",1,107548,40,107588,9.29471688292e-06
"Inferior temporal",Putamen,39,1672,10710,12382,0.00314973348409
"Inferior temporal","Primary auditory",7,1704,1862,3566,0.00196298373528
"Interstitial nucleus","Visual extrastriate",1,513,1533,2046,0.000488758553275
("Mammillary body" OR "Mammillary bodies),"Middle frontal",30,30,1027,1057,0.0283822138127
("Mammillary body" OR "Mammillary bodies),Precuneus,1,1368,1219,2587,0.000386548125242
("Nucleus cuneatus" OR "cuneate nucleus"),Subgranular,0,692,632,1324,0.0
"Piriform cortex","Wernicke's area",0,1743,251,1994,0.0
("Posterior nucleus" AND hypothalamus),("Ventral posteromedial" AND (nuclei OR nucleus)),1,66,111,177,0.00564971751412
Pons,"Superior frontal",17,25567,1074,26641,0.000638114184903
Perirhinal,"Ventromedial prefrontal",0,1200,3,1203,0.0
"Primary sensory",Temporoparietal,3,3007,1457,4464,0.000672043010753
"Middle frontal",Orbitofrontal,65,963,2931,3894,0.0166923472008
"Stria terminalis",(Superior AND collicul*),87,2643,9997,12640,0.00688291139241
"Middle temporal","Posterior cingulate",98,1539,1804,3343,0.029314986539
"Superior temporal","Visual extrastriate",120,3987,1414,5401,0.0222181077578
"Thalamic reticular",("Ventral anterior" AND (nuclei OR nucleus)),5,595,232,827,0.00604594921403
"Substantia nigra",Subthalam*,933,18454,3196,21650,0.0430946882217
Prefrontal,(Raphe AND (nuclei OR nucleus)),321,23780,8000,31780,0.0101006922593
Ambiguus,(Periventricular AND (nuclei OR nucleus)),22,1194,2473,3667,0.00599945459504
(Cochlear AND (nuclei OR nucleus)),(Raphe AND (nuclei OR nucleus)),85,5222,8236,13458,0.00631594590578
Fusiform,"Lingual gyrus",68,5387,186,5573,0.0122016867038
Entorhinal,Infralimbic,57,5490,439,5929,0.00961376286052
"Basal forbrain",Orbitofrontal,0,1,2996,2997,0.0
Caudate,"Middle temporal",54,18747,1583,20330,0.00265617314314
Cingulate,Prefrontal,3673,7431,20428,27859,0.131842492552
Cingulate,Suprachiasmatic,43,11061,5983,17044,0.00252288195259
Hypothalam*,"Middle temporal",17,107532,1620,109152,0.000155746115509
Fusiform,"Visual extrastriate",131,5324,1403,6727,0.0194737624498
"Globus pallidus",Perirhinal,16,8090,1184,9274,0.00172525339659
"Globus pallidus","Primary auditory",7,8099,1862,9961,0.000702740688686
Hippocamp*,"Lateral geniculate",195,103899,4985,108884,0.00179089673414
"Inferior temporal","Primary motor",11,1700,3194,4894,0.0022476501839
Hippocamp*,Putamen,1850,102244,8899,111143,0.0166452228211
"Interstitial nucleus","Substantia nigra",22,492,19365,19857,0.00110792163972
"Lingual gyrus","Visual cortex",27,227,22853,23080,0.0011698440208
("Medial dorsal" AND nucl*),"Superior temporal",7,106,4100,4206,0.00166428911079
("Mammillary body" OR "Mammillary bodies),Subthalam*,19,1350,4110,5460,0.00347985347985
"Medial geniculate",Thalamus,968,281,41914,42195,0.0229411067662
(Medulla OR "medulla oblongata"),Prefrontal,99,50723,24002,74725,0.00132485781198
"Pontine nuclei","Visual extrastriate",7,791,1527,2318,0.0030198446937
"Olfactory bulb",Temporoparietal,1,11210,1459,12669,7.89328281632e-05
"Paracentral lobule",Premotor,3,62,4726,4788,0.00062656641604
"Posterior parahippocampal gyrus",Subgranular,0,41,632,673,0.0
Premotor,Temporoparietal,26,4703,1434,6137,0.00423659768617
"Primary sensory",("Straight gyrus" OR "gyrus rectus"),0,3010,130,3140,0.0
(Septal AND (nuclei OR nucleus)),Subthalam*,43,4617,4086,8703,0.00494082500287
"Stria terminalis",("Ventral posterolateral" AND (nuclei OR nucleus)),1,2729,147,2876,0.000347705146036
"Superior temporal",Temporoparietal,73,4034,1387,5421,0.0134661501568
Precuneus,("Ventral anterior" AND (nuclei OR nucleus)),2,1218,235,1453,0.0013764624914
("Ventral posterolateral" AND (nuclei OR nucleus)),"Ventromedial prefrontal",0,148,3,151,0.0
"Supplementary motor",("Ventral posterolateral" AND (nuclei OR nucleus)),1,2360,147,2507,0.000398883127244
Pulvinar,"Wernicke's area",0,1133,251,1384,0.0
"Medial geniculate",Perirhinal,24,1225,1176,2401,0.00999583506872
Subthalam*,("Ventral anterior" AND (nuclei OR nucleus)),28,4101,209,4310,0.00649651972158
Subiculum,"Supplementary motor",63,98178,2298,100476,0.000627015406664
"Amygdala","Superior temporal",299,23058,3808,26866,0.0111293084196
(Intralaminar AND (nuclei OR nucleus)),(Periventricular AND (nuclei OR nucleus)),29,1071,2466,3537,0.00819903873339
"Lateral geniculate",("Locus coeruleus" OR "locus ceruleus"),85,5095,7554,12649,0.00671989880623
Cerebellum,("Inferior olive" OR "Inferior olivary"),1309,64091,1071,65162,0.0200883950769
(Cochlear AND (nuclei OR nucleus)),("Ventral posteromedial" AND (nuclei OR nucleus)),0,5307,112,5419,0.0
"Dorsolateral prefrontal","Inferior parietal lobule",58,2946,738,3684,0.0157437567861
"Diagonal band of Broca",Suprachiasmatic,63,832,5963,6795,0.00927152317881
("Gustatory cortex" OR "gustatory area"),"Medial geniculate",1,152,1248,1400,0.000714285714286
Fusiform,Premotor,62,5393,4667,10060,0.00616302186879
Entorhinal,"Lateral geniculate",14,5533,5166,10699,0.0013085335078
("Gustatory cortex" OR "gustatory area"),periaqueductal,0,153,4576,4729,0.0
"Calcarine fissure","Posterior parietal",0,103,2154,2257,0.0
("Heschl's gyrus" OR "Transverse temporal"),Subthalam*,1,1147,4128,5275,0.000189573459716
"Broca's area","Ventromedial prefrontal",0,694,3,697,0.0
"Dentate gyrus","Interstitial nucleus",4,11439,510,11949,0.000334756046531
(Cochlear AND (nuclei OR nucleus)),Infralimbic,0,5307,496,5803,0.0
"Globus pallidus","Inferior frontal",24,8082,2788,10870,0.00220791168353
"Interstitial nucleus",Subthalam*,17,497,4112,4609,0.00368843566934
"Interstitial nucleus","Thalamic reticular",0,514,600,1114,0.0
Hypothalam*,Hippocamp*,8946,98603,95148,193751,0.0461726649153
("Nucleus cuneatus" OR "cuneate nucleus"),Temporoparietal,0,692,1460,2152,0.0
("Nucleus cuneatus" OR "cuneate nucleus"),Pulvinar,1,691,1132,1823,0.000548546352167
("Medial dorsal" AND nucl*),(Periventricular AND (nuclei OR nucleus)),2,111,2493,2604,0.000768049155146
Parahippocamp*,Prefrontal,494,2165,23607,25772,0.0191680893993
Infralimbic,Subiculum,132,364,98109,98473,0.00134046896104
Infralimbic,Temporoparietal,0,496,1460,1956,0.0
Infralimbic,("Ventral posterolateral" AND (nuclei OR nucleus)),0,496,148,644,0.0
"Medial frontal",("Superior olive" OR "superior olivary"),0,1595,1257,2852,0.0
"Paracentral lobule",Orbitofrontal,3,62,2993,3055,0.000981996726678
("Posterior nucleus" AND hypothalamus),"Wernicke's area",0,67,251,318,0.0
("Posterior nucleus" AND hypothalamus),Striatum,3,64,58937,59001,5.08465958204e-05
Premotor,Subthalam*,65,4664,4064,8728,0.00744729605866
(Periventricular AND (nuclei OR nucleus)),("Ventral posterior" AND (nuclei OR nucleus)),8,2487,348,2835,0.00282186948854
("Straight gyrus" OR "gyrus rectus"),("Ventral anterior" AND (nuclei OR nucleus)),1,129,236,365,0.0027397260274
(Septal AND (nuclei OR nucleus)),"Ventral tegmentum",10,4650,275,4925,0.00203045685279
"Stria terminalis",("Straight gyrus" OR "gyrus rectus"),2,2728,128,2856,0.000700280112045
"Posterior parietal","Primary sensory",19,2135,2991,5126,0.00370659383535
("Red nucleus"),(Raphe AND (nuclei OR nucleus)),139,2237,8182,10419,0.0133410116134
(Raphe AND (nuclei OR nucleus)),"Substantia nigra",870,7451,18517,25968,0.0335027726433
("Nucleus gracilis" OR "gracile nucleus"),Thalamus,54,320,42828,43148,0.00125150644294
Cerebellum,"Thalamic reticular",30,65370,570,65940,0.000454959053685
("Centromedian" AND (nuclei OR nucleus)),"Superior temporal",0,216,4107,4323,0.0
Cingulate,"Posterior parahippocampal gyrus",7,11097,34,11131,0.000628874314976
Cerebellum,(Dorsomedial AND hypothal*),81,65319,2058,67377,0.00120219065853
(Dorsomedial AND hypothal*),"Stria terminalis",254,1885,2476,4361,0.058243522128
(Dorsomedial AND hypothal*),Striatum,94,2045,58846,60891,0.00154374209653
"Globus pallidus","Superior frontal",16,8090,1075,9165,0.00174577195854
Cingulum,"Inferior frontal",14,671,2798,3469,0.00403574517152
(Dorsomedial AND hypothal*),"Wernicke's area",0,2139,251,2390,0.0
Cingulum,"Primary auditory",1,684,1868,2552,0.000391849529781
(Cochlear AND (nuclei OR nucleus)),"Pontine nuclei",43,5264,755,6019,0.00714404386111
(Inferior AND collicul*),"Postcentral gyrus",1,4282,530,4812,0.000207813798836
"Inferior parietal lobule",Operculum,24,772,902,1674,0.0143369175627
Hypothalam*,"Wernicke's area",0,107549,251,107800,0.0
Hippocamp*,("Ventral posterior" AND (nuclei OR nucleus)),15,104079,341,104420,0.00014365064164
("Nucleus cuneatus" OR "cuneate nucleus"),Thalamus,126,566,42756,43322,0.00290845298001
Hippocamp*,Subgranular,505,103589,127,103716,0.00486906552509
Insula*,"Ventromedial prefrontal",0,17173,3,17176,0.0
(Inferior AND collicul*),("Red nucleus"),76,4207,2300,6507,0.0116797295221
("Nucleus gracilis" OR "gracile nucleus"),"Piriform cortex",1,373,1742,2115,0.000472813238771
periaqueductal,"Postcentral gyrus",1,4575,530,5105,0.000195886385896
periaqueductal,"Visual cortex",22,4554,22858,27412,0.000802568218299
Insula*,("Nucleus gracilis" OR "gracile nucleus"),1,17172,373,17545,5.69962952408e-05
"Olfactory bulb","Postcentral gyrus",0,11211,531,11742,0.0
Pons,"Primary auditory",45,25539,1824,27363,0.00164455651793
"Paracentral lobule","Wernicke's area",1,64,250,314,0.0031847133758
"Paracentral lobule",("Ventral anterior" AND (nuclei OR nucleus)),0,65,237,302,0.0
"Posterior cingulate",Subiculum,367,1535,97874,99409,0.00369181864821
(Periventricular AND (nuclei OR nucleus)),Precuneus,1,2494,1219,3713,0.000269323996768
(Periventricular AND (nuclei OR nucleus)),"Piriform cortex",36,2459,1707,4166,0.00864138262122
"Stria terminalis","Thalamic reticular",5,2725,595,3320,0.00150602409639
"Posterior parietal","Visual cortex",182,1972,22698,24670,0.00737738143494
("Superior olive" OR "superior olivary"),"Ventromedial prefrontal",0,1257,3,1260,0.0
"Superior temporal","Visual cortex",392,3715,22488,26203,0.0149601190703
(Superior AND collicul*),("Ventral anterior" AND (nuclei OR nucleus)),11,10073,226,10299,0.00106806486067
"Posterior parietal","Supplementary motor",122,2032,2239,4271,0.028564738937
"Zona incerta","Wernicke's area",0,974,251,1225,0.0
Putamen,"Stria terminalis",172,10577,2558,13135,0.0130947849258
Ambiguus,"Dentate gyrus",10,1206,11433,12639,0.000791201835588
"Amygdala",("Mammillary body" OR "Mammillary bodies),135,23222,135,23357,0.00577985186454
Cingulate,(Inferior AND collicul*),57,11047,4226,15273,0.00373207621292
Cerebellum,"Postcentral gyrus",72,65328,459,65787,0.00109444115099
"Calcarine fissure",("Heschl's gyrus" OR "Transverse temporal"),3,100,1145,1245,0.00240963855422
"Angular gyrus",("Straight gyrus" OR "gyrus rectus"),2,500,128,628,0.0031847133758
Cingulate,"Lingual gyrus",86,11018,168,11186,0.00768818165564
Cingulate,Claustrum,1671,9433,81070,90503,0.0184634763489
"Dorsolateral prefrontal",Suprachiasmatic,0,3004,6026,9030,0.0
"Dentate gyrus",Hippocamp*,10028,1415,94066,95481,0.105026130853
"Lateral geniculate","Posterior cingulate",2,5178,1900,7078,0.000282565696524
(Dorsomedial AND hypothal*),Suprachiasmatic,357,1782,5669,7451,0.0479130318078
Cingulate,"Posterior cingulate",1902,9202,0,9202,0.206694196914
"Diagonal band of Broca",Operculum,1,894,925,1819,0.000549752611325
"Dorsolateral prefrontal","Medial geniculate",0,3004,1249,4253,0.0
"Basal forbrain","Middle temporal",0,1,1637,1638,0.0
("Centromedian" AND (nuclei OR nucleus)),("Mammillary body" OR "Mammillary bodies),1,215,1,216,0.00462962962963
Cingulum,("Heschl's gyrus" OR "Transverse temporal"),3,682,1145,1827,0.00164203612479
"Calcarine fissure","Visual cortex",66,37,22814,22851,0.00288827622424
("Centromedian" AND (nuclei OR nucleus)),Orbitofrontal,3,213,2993,3206,0.00093574547723
("Heschl's gyrus" OR "Transverse temporal"),"Inferior parietal lobule",11,1137,785,1922,0.0057232049948
Hypothalam*,periaqueductal,1149,106400,3427,109827,0.0104619082739
(Cochlear AND (nuclei OR nucleus)),Entorhinal,11,5296,5536,10832,0.00101550960118
(Inferior AND collicul*),"Inferior temporal",11,4272,1700,5972,0.00184192900201
"Dentate gyrus","Ventromedial prefrontal",0,11443,3,11446,0.0
"Nucleus basalis",("Straight gyrus" OR "gyrus rectus"),2,1845,128,1973,0.00101368474404
("Mammillary body" OR "Mammillary bodies),"Wernicke's area",83,83,251,334,0.248502994012
"Inferior frontal","Inferior temporal",167,2645,1544,4189,0.0398663165433
periaqueductal,Pons,436,4140,25148,29288,0.0148866429937
("Nucleus gracilis" OR "gracile nucleus"),"Ventral tegmentum",0,374,285,659,0.0
Infralimbic,"Interstitial nucleus",2,494,512,1006,0.00198807157058
"Medial geniculate","Ventral tegmentum",2,1247,283,1530,0.00130718954248
Infralimbic,"Middle frontal",0,496,1028,1524,0.0
Infralimbic,("Red nucleus"),2,494,2374,2868,0.000697350069735
periaqueductal,"Ventral tegmentum",17,4559,268,4827,0.0035218562254
Parahippocamp*,("Superior olive" OR "superior olivary"),0,2659,1257,3916,0.0
"Pontine nuclei","Ventral tegmentum",0,798,285,1083,0.0
Insula*,"Posterior parietal",152,17021,2002,19023,0.00799032749829
"Nucleus accumbens","Stria terminalis",378,12167,2352,14519,0.026034850885
Pons,"Pontine nuclei",418,25166,380,25546,0.0163626399436
(Periventricular AND (nuclei OR nucleus)),Putamen,76,2419,10673,13092,0.00580507179957
"Primary sensory",Subthalam*,3,3007,4126,7133,0.000420580400953
"Posterior cingulate","Substantia nigra",14,1888,19373,21261,0.000658482667795
"Primary sensory","Ventromedial prefrontal",0,3010,3,3013,0.0
